year,month,nominal_fah,nominal_fafh,nominal_total,const_fah,const_fafh,const_total
2018,April,"61,273.03","66,939.98","128,213.02","29,753.16","29,717.97","59,838.21"
2018,March,"65,872.66","69,790.98","135,663.64","32,117.01","31,058.32","63,525.98"
2018,February,"58,159.14","60,688.51","118,847.65","28,352.88","27,036.81","55,674.64"
2018,January,"61,417.61","60,689.21","122,106.82","29,862.31","27,102.56","57,179.89"
2017,December,"72,174.79","68,017.87","140,192.66","35,277.08","30,482.33","65,942.52"
2017,November,"65,077.54","62,048.98","127,126.52","31,832.01","27,874.62","59,884.07"
2017,October,"62,531.70","64,268.74","126,800.45","30,441.33","28,924.26","59,613.32"
2017,September,"61,411.76","63,231.42","124,643.17","29,947.97","28,489.34","58,685.73"
2017,August,"63,088.33","65,576.65","128,664.98","30,802.05","29,636.99","60,700.23"
2017,July,"62,481.18","65,636.94","128,118.13","30,491.13","29,760.60","60,509.64"
2017,June,"61,964.64","65,604.07","127,568.71","30,321.28","29,792.73","60,385.55"
2017,May,"63,347.84","66,624.20","129,972.04","30,911.11","30,267.02","61,433.85"
2017,April,"61,016.74","64,674.30","125,691.04","29,790.92","29,433.55","59,476.25"
2017,March,"61,821.28","66,124.84","127,946.13","30,253.54","30,161.13","60,682.81"
2017,February,"56,146.46","58,517.53","114,663.98","27,514.13","26,734.36","54,465.06"
2017,January,"58,815.11","58,918.60","117,733.70","28,887.40","26,973.12","56,046.84"
2016,December,"68,791.54","63,838.67","132,630.20","33,913.96","29,333.26","63,375.46"
2016,November,"61,626.72","59,337.04","120,963.76","30,320.38","27,306.61","57,772.31"
2016,October,"60,328.90","61,627.20","121,956.09","29,529.14","28,386.27","58,096.46"
2016,September,"58,218.03","60,082.67","118,300.70","28,497.95","27,712.17","56,390.59"
2016,August,"60,276.51","61,969.55","122,246.05","29,508.76","28,631.41","58,317.80"
2016,July,"60,861.12","62,939.38","123,800.49","29,779.56","29,145.37","59,098.71"
2016,June,"60,060.44","61,433.21","121,493.65","29,360.04","28,504.21","58,014.37"
2016,May,"60,918.16","63,345.84","124,264.00","29,664.35","29,442.38","59,246.74"
2016,April,"57,909.29","62,248.25","120,157.54","28,049.26","28,993.56","57,161.33"
2016,March,"59,927.69","61,888.93","121,816.62","29,064.26","28,895.99","58,052.24"
2016,February,"55,741.33","57,243.30","112,984.63","26,840.93","26,784.64","53,665.43"
2016,January,"57,628.10","55,908.59","113,536.70","27,755.35","26,196.30","53,964.30"
2015,December,"66,210.88","60,735.01","126,945.89","31,974.87","28,552.23","60,514.92"
2015,November,"59,943.99","56,106.97","116,050.95","28,846.00","26,406.31","55,231.54"
2015,October,"59,531.31","59,744.05","119,275.35","28,467.53","28,166.30","56,596.07"
2015,September,"57,039.51","56,569.84","113,609.35","27,315.82","26,725.15","53,998.62"
2015,August,"59,993.43","59,786.24","119,779.68","28,812.73","28,397.05","57,152.28"
2015,July,"60,570.36","59,952.04","120,522.40","29,181.47","28,536.67","57,662.19"
2015,June,"58,667.83","58,761.36","117,429.19","28,324.44","27,976.74","56,255.86"
2015,May,"61,044.03","61,745.56","122,789.59","29,530.98","29,458.32","58,941.61"
2015,April,"57,318.38","58,217.76","115,536.14","27,696.97","27,840.56","55,474.68"
2015,March,"58,837.44","59,105.43","117,942.87","28,398.95","28,334.39","56,647.76"
2015,February,"53,974.14","52,256.05","106,230.19","25,911.42","25,089.72","50,890.84"
2015,January,"57,611.45","53,748.76","111,360.21","27,634.20","25,876.41","53,379.16"
2014,December,"65,419.51","56,943.14","122,362.65","31,467.19","27,459.12","58,787.06"
2014,November,"60,325.97","53,500.08","113,826.05","29,124.14","25,864.76","54,860.65"
2014,October,"59,162.24","55,875.55","115,037.79","28,498.89","27,108.86","55,450.55"
2014,September,"56,279.72","52,865.72","109,145.45","27,171.89","25,702.99","52,725.59"
2014,August,"59,941.49","56,627.89","116,569.38","29,042.98","27,616.96","56,501.09"
2014,July,"59,227.43","55,336.92","114,564.34","28,805.20","27,051.34","55,706.78"
2014,June,"57,672.73","54,324.52","111,997.25","28,127.91","26,638.11","54,617.64"
2014,May,"60,349.00","57,095.81","117,444.81","29,388.96","28,052.51","57,270.00"
2014,April,"56,790.22","53,493.93","110,284.15","27,818.05","26,326.97","54,002.62"
2014,March,"57,426.23","55,097.58","112,523.81","28,262.93","27,187.96","55,314.53"
2014,February,"52,818.77","48,347.75","101,166.52","26,088.95","23,923.90","49,895.46"
2014,January,"55,872.20","48,596.85","104,469.05","27,684.81","24,115.96","51,683.04"
2013,December,"63,066.43","52,526.40","115,592.83","31,455.66","26,084.79","57,427.33"
2013,November,"58,173.96","50,831.14","109,005.10","29,034.38","25,276.57","54,206.46"
2013,October,"56,232.05","51,506.43","107,738.48","27,970.81","25,677.04","53,524.79"
2013,September,"53,811.52","49,203.28","103,014.80","26,808.54","24,560.19","51,253.25"
2013,August,"57,625.25","53,107.51","110,732.76","28,713.33","26,533.24","55,120.11"
2013,July,"56,526.51","51,886.54","108,413.05","28,214.39","25,965.86","54,057.63"
2013,June,"55,809.05","51,636.47","107,445.53","27,866.76","25,882.36","53,622.48"
2013,May,"57,739.22","53,239.37","110,978.59","28,854.53","26,726.81","55,448.00"
2013,April,"53,238.85","50,874.26","104,113.12","26,516.70","25,582.22","51,948.64"
2013,March,"57,404.83","52,948.99","110,353.81","28,628.91","26,716.64","55,181.11"
2013,February,"51,684.02","46,662.71","98,346.73","25,747.74","23,591.52","49,183.56"
2013,January,"53,720.75","46,998.45","100,719.20","26,738.98","23,782.65","50,361.52"
2012,December,"61,884.70","50,753.89","112,638.59","30,980.04","25,720.82","56,548.98"
2012,November,"56,657.10","47,707.18","104,364.27","28,437.52","24,209.13","52,505.14"
2012,October,"55,074.85","48,745.42","103,820.27","27,624.74","24,766.52","52,235.46"
2012,September,"53,371.93","47,997.70","101,369.64","26,868.35","24,404.66","51,128.72"
2012,August,"56,293.70","50,535.54","106,829.24","28,328.50","25,749.67","53,915.11"
2012,July,"54,947.85","50,110.05","105,057.90","27,699.98","25,610.05","53,140.51"
2012,June,"55,058.36","50,264.78","105,323.14","27,731.37","25,743.00","53,289.96"
2012,May,"56,503.05","50,634.80","107,137.84","28,459.46","25,995.70","54,260.17"
2012,April,"53,638.64","48,670.74","102,309.38","26,995.02","25,047.37","51,838.11"
2012,March,"55,631.51","50,539.34","106,170.84","28,038.58","26,077.75","53,896.78"
2012,February,"51,960.06","45,737.57","97,697.63","26,212.04","23,647.41","49,660.70"
2012,January,"51,918.57","44,484.63","96,403.20","26,133.93","23,032.64","48,964.81"
2011,December,"61,139.35","47,840.69","108,980.03","31,005.59","24,858.67","55,679.46"
2011,November,"54,883.89","44,348.27","99,232.16","27,907.16","23,082.53","50,811.39"
2011,October,"53,510.44","46,937.47","100,447.92","27,113.02","24,491.82","51,383.38"
2011,September,"51,977.27","45,945.07","97,922.34","26,389.08","24,018.07","50,187.89"
2011,August,"54,083.37","47,684.13","101,767.50","27,625.26","24,982.91","52,390.17"
2011,July,"54,386.31","48,581.21","102,967.52","27,959.35","25,555.47","53,295.38"
2011,June,"53,367.80","47,254.17","100,621.97","27,594.30","24,909.30","52,300.32"
2011,May,"53,995.39","47,970.13","101,965.52","27,947.49","25,351.96","53,088.32"
2011,April,"52,994.63","46,459.82","99,454.45","27,566.71","24,598.28","51,970.06"
2011,March,"52,514.84","46,638.81","99,153.65","27,415.03","24,778.92","51,996.81"
2011,February,"48,131.69","41,758.02","89,889.71","25,375.09","22,251.07","47,465.43"
2011,January,"50,309.89","41,483.34","91,793.23","26,670.66","22,145.50","48,663.44"
2010,December,"58,463.81","44,402.08","102,865.88","31,429.94","23,750.94","55,018.76"
2010,November,"52,041.56","41,760.79","93,802.35","28,030.56","22,358.32","50,245.87"
2010,October,"50,720.29","44,321.22","95,041.51","27,297.95","23,752.27","50,909.86"
2010,September,"48,968.05","42,473.72","91,441.77","26,419.49","22,783.13","49,070.60"
2010,August,"50,549.95","44,987.61","95,537.55","27,370.60","24,200.93","51,437.88"
2010,July,"51,340.76","45,749.74","97,090.51","27,813.93","24,688.36","52,362.26"
2010,June,"49,920.22","44,099.96","94,020.18","27,029.94","23,788.77","50,683.95"
2010,May,"51,783.51","45,261.58","97,045.09","27,981.33","24,439.56","52,277.40"
2010,April,"49,299.09","43,626.21","92,925.30","26,644.36","23,587.57","50,093.73"
2010,March,"50,529.14","43,631.34","94,160.48","27,322.02","23,620.28","50,802.69"
2010,February,"46,677.28","39,406.63","86,083.91","25,296.93","21,324.76","46,499.04"
2010,January,"48,870.72","39,787.03","88,657.75","26,448.77","21,546.56","47,868.32"
2009,December,"56,691.59","42,154.15","98,845.73","30,973.32","22,841.58","53,672.38"
2009,November,"50,323.32","39,869.37","90,192.69","27,562.59","21,618.70","49,057.70"
2009,October,"49,934.34","42,476.82","92,411.16","27,247.24","23,074.66","50,204.06"
2009,September,"47,574.33","40,841.03","88,415.36","26,004.54","22,207.95","48,101.38"
2009,August,"49,917.08","43,667.82","93,584.90","27,221.20","23,779.84","50,882.88"
2009,July,"50,285.83","43,968.33","94,254.16","27,409.93","23,978.73","51,268.71"
2009,June,"48,991.17","43,002.64","91,993.81","26,578.67","23,471.01","49,928.21"
2009,May,"50,880.51","44,676.10","95,556.61","27,569.94","24,399.41","51,841.39"
2009,April,"48,053.95","41,938.54","89,992.49","25,954.90","22,916.10","48,747.55"
2009,March,"47,821.27","42,449.32","90,270.59","25,672.03","23,266.69","48,800.21"
2009,February,"44,755.13","38,916.09","83,671.21","23,886.18","21,353.48","45,107.75"
2009,January,"48,360.72","40,349.43","88,710.15","25,652.53","22,204.35","47,721.96"
2008,December,"54,793.68","42,242.50","97,036.17","29,207.48","23,312.34","52,408.54"
2008,November,"50,465.72","40,800.07","91,265.79","26,852.48","22,581.39","49,304.61"
2008,October,"50,201.15","43,055.73","93,256.88","26,643.36","23,911.24","50,382.80"
2008,September,"48,460.70","41,749.17","90,209.87","25,842.33","23,298.51","48,969.90"
2008,August,"52,058.73","45,474.52","97,533.26","27,937.57","25,513.18","53,257.03"
2008,July,"51,973.13","44,698.61","96,671.74","28,083.64","25,157.48","53,061.95"
2008,June,"50,621.26","43,837.56","94,458.82","27,690.03","24,829.19","52,347.19"
2008,May,"52,812.89","45,588.80","98,401.68","29,068.74","25,947.86","54,838.00"
2008,April,"48,207.68","42,472.57","90,680.26","26,662.73","24,274.94","50,762.85"
2008,March,"50,116.68","43,094.32","93,211.01","28,072.55","24,694.18","52,607.45"
2008,February,"46,894.45","40,176.20","87,070.65","26,253.12","23,094.35","49,193.34"
2008,January,"48,065.48","39,635.92","87,701.40","26,954.87","22,871.85","49,679.86"
2007,December,"56,382.57","43,437.49","99,820.06","32,048.30","25,166.42","57,068.25"
2007,November,"50,433.29","40,574.23","91,007.52","28,732.73","23,550.87","52,137.73"
2007,October,"48,079.40","42,067.11","90,146.51","27,447.85","24,485.74","51,765.16"
2007,September,"46,607.41","41,154.22","87,761.63","26,757.49","24,008.94","50,605.93"
2007,August,"49,105.68","43,789.07","92,894.74","28,341.08","25,675.62","53,843.28"
2007,July,"48,351.28","43,351.31","91,702.59","28,006.41","25,520.67","53,352.20"
2007,June,"48,365.12","43,312.94","91,678.06","28,077.34","25,621.78","53,517.10"
2007,May,"49,292.15","43,020.97","92,313.12","28,703.28","25,536.09","54,061.39"
2007,April,"45,949.03","40,934.21","86,883.23","26,932.77","24,357.68","51,127.50"
2007,March,"47,680.47","42,569.42","90,249.88","27,982.69","25,410.32","53,219.16"
2007,February,"43,205.63","37,301.11","80,506.73","25,428.98","22,284.18","47,569.42"
2007,January,"45,245.23","37,877.83","83,123.06","26,834.39","22,710.49","49,408.83"
2006,December,"53,515.85","42,130.69","95,646.54","32,125.34","25,381.09","57,375.79"
2006,November,"47,200.29","37,971.41","85,171.70","28,332.90","22,943.03","51,144.13"
2006,October,"45,621.20","39,816.71","85,437.91","27,271.67","24,117.46","51,225.90"
2006,September,"44,599.26","39,478.44","84,077.70","26,797.21","23,983.89","50,641.61"
2006,August,"46,831.28","41,183.65","88,014.92","28,283.17","25,057.20","53,202.88"
2006,July,"46,469.30","40,887.14","87,356.45","28,136.70","24,939.08","52,940.25"
2006,June,"45,939.68","40,294.84","86,234.52","27,873.33","24,639.61","52,394.68"
2006,May,"46,765.54","40,467.46","87,233.00","28,418.30","24,807.66","53,083.21"
2006,April,"44,482.33","39,195.11","83,677.45","27,086.98","24,112.98","51,051.02"
2006,March,"44,890.84","39,818.13","84,708.97","27,221.81","24,546.31","51,600.43"
2006,February,"41,060.55","35,480.15","76,540.70","24,860.26","21,917.02","46,624.73"
2006,January,"42,652.32","36,351.43","79,003.75","25,717.20","22,524.40","48,100.30"
2005,December,"51,339.06","39,057.27","90,396.34","31,229.53","24,275.90","55,378.89"
2005,November,"45,068.82","36,063.37","81,132.19","27,515.96","22,461.53","49,832.63"
2005,October,"44,440.44","37,864.51","82,304.95","27,160.90","23,632.26","50,631.90"
2005,September,"43,230.76","36,790.69","80,021.45","26,532.97","23,033.33","49,407.18"
2005,August,"44,261.61","38,654.54","82,916.14","27,237.49","24,250.46","51,328.53"
2005,July,"44,400.60","39,292.33","83,692.93","27,280.01","24,727.28","51,836.54"
2005,June,"43,476.72","37,843.46","81,320.18","26,768.96","23,864.96","50,472.75"
2005,May,"43,888.25","38,100.13","81,988.38","26,894.73","24,101.74","50,834.09"
2005,April,"41,920.41","37,370.79","79,291.20","25,756.69","23,701.85","49,265.18"
2005,March,"43,225.49","36,607.77","79,833.26","26,798.78","23,266.22","49,890.51"
2005,February,"38,780.89","33,399.95","72,180.84","24,056.21","21,260.52","45,179.93"
2005,January,"40,992.02","33,469.16","74,461.18","25,306.86","21,371.24","46,533.31"
2004,December,"48,331.68","36,598.24","84,929.92","29,901.65","23,479.56","53,244.53"
2004,November,"42,457.60","33,801.53","76,259.13","26,323.60","21,719.25","47,884.82"
2004,October,"41,808.37","35,949.66","77,758.03","25,948.93","23,123.53","48,903.96"
2004,September,"40,222.24","34,295.19","74,517.43","25,206.22","22,117.37","47,167.10"
2004,August,"41,053.18","36,229.97","77,283.14","25,644.56","23,426.80","48,891.52"
2004,July,"42,195.21","37,253.08","79,448.29","26,301.91","24,165.01","50,261.25"
2004,June,"40,582.55","35,442.78","76,025.32","25,337.63","23,088.83","48,224.86"
2004,May,"42,036.33","36,054.51","78,090.84","26,273.77","23,524.90","49,588.31"
2004,April,"40,004.43","34,632.87","74,637.30","25,343.68","22,657.87","47,806.31"
2004,March,"39,913.03","34,837.27","74,750.30","25,258.69","22,840.62","47,904.65"
2004,February,"37,636.78","32,308.59","69,945.37","23,857.37","21,217.01","44,898.39"
2004,January,"39,579.08","32,136.75","71,715.82","25,088.94","21,172.74","46,110.00"
2003,December,"44,626.77","33,522.00","78,148.78","28,273.71","22,157.48","50,300.82"
2003,November,"40,269.74","32,130.27","72,400.01","25,751.32","21,295.50","46,907.19"
2003,October,"39,607.51","33,486.52","73,094.02","25,453.58","22,255.11","47,539.28"
2003,September,"37,786.28","31,904.99","69,691.27","24,471.97","21,262.15","45,577.01"
2003,August,"40,245.12","35,498.95","75,744.08","26,122.38","23,683.27","49,617.83"
2003,July,"39,922.37","34,423.23","74,345.61","26,028.59","23,003.46","48,891.45"
2003,June,"38,340.01","33,498.62","71,838.63","24,996.65","22,434.85","47,269.10"
2003,May,"40,131.98","34,425.22","74,557.20","26,326.46","23,106.22","49,277.39"
2003,April,"37,837.72","31,654.47","69,492.19","24,890.97","21,293.37","46,032.73"
2003,March,"38,504.00","32,460.03","70,964.02","25,271.69","21,847.22","46,955.06"
2003,February,"35,375.48","28,793.15","64,168.63","23,230.79","19,411.26","42,530.16"
2003,January,"37,559.42","29,327.01","66,886.43","24,789.86","19,858.91","44,531.29"
2002,December,"42,502.88","31,656.95","74,159.83","28,147.28","21,412.57","49,429.43"
2002,November,"39,112.51","30,255.32","69,367.83","25,989.79","20,498.38","46,366.19"
2002,October,"37,673.19","30,906.60","68,579.79","25,089.87","20,962.63","45,917.38"
2002,September,"35,827.60","30,168.63","65,996.23","23,846.50","20,507.43","44,212.61"
2002,August,"38,623.86","33,152.30","71,776.16","25,751.15","22,585.62","48,194.02"
2002,July,"38,106.82","32,287.49","70,394.31","25,362.40","22,032.99","47,266.18"
2002,June,"37,381.60","32,001.71","69,383.30","24,907.69","21,874.28","46,640.34"
2002,May,"38,902.29","32,135.58","71,037.87","25,846.66","22,039.51","47,752.56"
2002,April,"35,576.45","30,573.73","66,150.17","23,516.05","21,015.19","44,366.04"
2002,March,"37,954.22","31,203.43","69,157.65","25,101.69","21,459.61","46,409.45"
2002,February,"33,722.29","27,935.48","61,657.77","22,340.64","19,222.50","41,423.58"
2002,January,"35,654.23","28,071.67","63,725.90","23,593.56","19,381.39","42,837.36"
2001,December,"42,252.85","30,671.80","72,924.66","28,200.01","21,224.13","49,329.54"
2001,November,"37,971.21","28,569.36","66,540.57","25,342.37","19,791.33","45,036.84"
2001,October,"36,903.63","29,477.54","66,381.18","24,559.62","20,443.33","44,851.89"
2001,September,"36,006.12","28,825.69","64,831.81","24,086.17","20,048.04","44,006.31"
2001,August,"37,886.45","31,683.25","69,569.70","25,358.78","22,085.65","47,276.59"
2001,July,"37,031.77","31,037.82","68,069.59","24,829.76","21,710.14","46,363.83"
2001,June,"37,124.59","30,956.60","68,081.19","24,978.55","21,715.63","46,505.75"
2001,May,"37,934.24","30,642.37","68,576.60","25,597.63","21,557.32","46,979.94"
2001,April,"35,621.21","28,966.21","64,587.42","24,121.10","20,425.43","44,401.50"
2001,March,"36,516.40","29,930.24","66,446.63","24,756.65","21,154.41","45,732.85"
2001,February,"33,036.75","26,699.78","59,736.54","22,424.30","18,926.33","41,210.54"
2001,January,"34,760.40","26,930.69","61,691.09","23,663.86","19,134.88","42,658.54"
2000,December,"41,339.76","29,010.85","70,350.62","28,325.76","20,685.72","48,904.02"
2000,November,"36,477.85","27,571.47","64,049.32","25,202.43","19,705.95","44,813.67"
2000,October,"35,246.68","28,926.05","64,172.72","24,309.18","20,686.67","44,846.90"
2000,September,"34,921.78","28,690.09","63,611.87","24,099.81","20,554.57","44,507.60"
2000,August,"35,926.67","29,791.14","65,717.81","24,808.31","21,406.81","46,035.58"
2000,July,"35,876.39","30,048.99","65,925.39","24,862.13","21,643.64","46,345.82"
2000,June,"35,594.82","29,564.81","65,159.63","24,814.53","21,358.51","46,026.53"
2000,May,"35,611.49","29,275.59","64,887.08","24,796.49","21,187.73","45,834.01"
2000,April,"34,173.55","28,393.00","62,566.54","23,938.02","20,573.87","44,380.56"
2000,March,"34,701.47","28,680.06","63,381.53","24,322.17","20,807.11","44,985.66"
2000,February,"31,834.29","26,328.92","58,163.21","22,325.66","19,136.00","41,331.55"
2000,January,"32,075.51","25,516.84","57,592.35","22,494.40","18,590.58","40,975.17"
1999,December,"40,369.07","27,504.98","67,874.05","28,464.02","20,087.59","48,494.66"
1999,November,"34,276.79","25,936.28","60,213.07","24,211.88","18,976.40","43,073.12"
1999,October,"34,079.02","27,522.97","61,601.99","24,071.90","20,173.92","44,093.37"
1999,September,"33,441.95","26,037.63","59,479.58","23,707.90","19,131.38","42,703.52"
1999,August,"33,927.56","27,574.47","61,502.03","24,110.76","20,285.12","44,263.11"
1999,July,"35,031.73","28,038.75","63,070.48","24,956.36","20,689.08","45,502.77"
1999,June,"33,493.00","27,001.33","60,494.33","23,860.39","19,983.96","43,697.54"
1999,May,"34,399.83","27,449.29","61,849.11","24,476.84","20,315.23","44,648.86"
1999,April,"32,615.66","26,322.54","58,938.20","23,264.54","19,492.81","42,625.59"
1999,March,"33,102.01","25,854.37","58,956.38","23,626.46","19,180.64","42,664.85"
1999,February,"29,749.96","23,672.01","53,421.98","21,182.70","17,603.99","38,659.78"
1999,January,"31,539.11","23,825.75","55,364.87","22,389.01","17,750.25","39,992.32"
1998,December,"36,959.89","25,942.13","62,902.01","26,512.42","19,385.50","45,800.65"
1998,November,"32,529.11","24,482.40","57,011.51","23,349.21","18,339.14","41,562.83"
1998,October,"32,879.52","26,176.95","59,056.47","23,601.40","19,644.22","43,080.24"
1998,September,"31,382.63","24,864.22","56,246.85","22,709.11","18,681.76","41,259.91"
1998,August,"32,599.47","26,553.00","59,152.47","23,560.87","20,024.48","43,418.28"
1998,July,"33,277.36","26,472.57","59,749.93","24,140.89","20,013.27","43,993.45"
1998,June,"31,819.14","25,881.49","57,700.63","23,126.40","19,615.11","42,590.70"
1998,May,"32,787.34","26,445.52","59,232.86","23,800.56","20,055.17","43,667.14"
1998,April,"31,238.78","24,709.54","55,948.32","22,747.23","18,785.70","41,374.80"
1998,March,"30,786.00","24,634.77","55,420.77","22,417.43","18,764.34","41,010.33"
1998,February,"28,163.25","22,338.80","50,502.05","20,533.08","17,047.88","37,440.90"
1998,January,"30,442.64","22,676.46","53,119.10","22,056.77","17,349.57","39,257.97"
1997,December,"35,049.62","24,103.27","59,152.89","25,681.37","18,465.04","44,047.84"
1997,November,"31,800.28","23,057.23","54,857.51","23,314.79","17,708.81","40,900.86"
1997,October,"31,844.20","24,421.05","56,265.24","23,361.34","18,804.23","42,030.00"
1997,September,"30,396.65","23,741.77","54,138.42","22,355.34","18,328.00","40,518.10"
1997,August,"32,224.97","25,813.13","58,038.11","23,714.65","19,978.14","43,519.37"
1997,July,"32,298.72","25,230.40","57,529.12","23,889.25","19,564.80","43,302.57"
1997,June,"30,881.50","24,418.14","55,299.64","22,898.90","18,995.71","41,730.74"
1997,May,"32,477.24","25,119.82","57,597.06","24,051.40","19,579.35","43,464.45"
1997,April,"30,011.51","23,415.44","53,426.95","22,225.24","18,262.78","40,317.55"
1997,March,"31,584.10","23,639.87","55,223.97","23,360.07","18,461.60","41,673.64"
1997,February,"28,154.23","21,313.57","49,467.80","20,823.22","16,687.75","37,353.72"
1997,January,"30,334.11","21,457.62","51,791.73","22,407.04","16,833.03","39,108.55"
